Symbol;Name;Sector;ranking
ROST;Ross Stores;Consumer Discretionary;152
KLAC;KLA Corporation;Information Technology;153
APH;Amphenol Corp;Information Technology;154
BIIB;Biogen Inc.;Health Care;155
SRE;Sempra Energy;Utilities;156
BAX;Baxter International Inc.;Health Care;157
IDXX;IDEXX Laboratories;Health Care;158
TEL;TE Connectivity Ltd.;Information Technology;159
MET;MetLife Inc.;Financials;160
TWTR;Twitter Inc.;Communication Services;161
DLR;Digital Realty Trust Inc;Real Estate;162
SYY;Sysco Corp.;Consumer Staples;163
GIS;General Mills;Consumer Staples;164
CNC;Centene Corporation;Health Care;165
CMG;Chipotle Mexican Grill;Consumer Discretionary;166
XEL;Xcel Energy Inc;Utilities;167
F;Ford Motor Company;Consumer Discretionary;168
A;Agilent Technologies Inc;Health Care;169
GD;General Dynamics;Industrials;170
PH;Parker-Hannifin;Industrials;171
EA;Electronic Arts;Communication Services;172
TT;Trane Technologies plc;Industrials;173
JCI;Johnson Controls International;Industrials;174
PPG;PPG Industries;Materials;175
AIG;American International Group;Financials;176
TRV;The Travelers Companies Inc.;Financials;177
INFO;IHS Markit Ltd.;Industrials;178
MAR;Marriott Int'l.;Consumer Discretionary;179
STZ;Constellation Brands;Consumer Staples;180
CMI;Cummins Inc.;Industrials;181
FCX;Freeport-McMoRan Inc.;Materials;182
ALGN;Align Technology;Health Care;183
PSA;Public Storage;Real Estate;184
MSCI;MSCI Inc;Financials;185
EBAY;eBay Inc.;Consumer Discretionary;186
MCHP;Microchip Technology;Information Technology;187
XLNX;Xilinx;Information Technology;188
TROW;T. Rowe Price Group;Financials;189
ORLY;O'Reilly Automotive;Consumer Discretionary;190
SNPS;Synopsys Inc.;Information Technology;191
TDG;TransDigm Group;Industrials;192
BK;The Bank of New York Mellon;Financials;193
IQV;IQVIA Holdings Inc.;Health Care;194
ALL;Allstate Corp;Financials;195
YUM;Yum! Brands Inc;Consumer Discretionary;196
APTV;Aptiv PLC;Consumer Discretionary;197
VRSK;Verisk Analytics;Industrials;198
SBAC;SBA Communications;Real Estate;199
CDNS;Cadence Design Systems;Information Technology;200
BLL;Ball Corp;Materials;201
CARR;Carrier Global;Industrials;202
CTAS;Cintas Corporation;Industrials;203
PRU;Prudential Financial;Financials;204
MNST;Monster Beverage;Consumer Staples;205
EOG;EOG Resources;Energy;206
ZBH;Zimmer Biomet Holdings;Health Care;207
HPQ;HP Inc.;Information Technology;208
PCAR;PACCAR Inc.;Industrials;209
SLB;Schlumberger Ltd.;Energy;210
AFL;AFLAC Inc;Financials;211
PEG;Public Service Enterprise Group (PSEG);Utilities;212
WEC;WEC Energy Group;Utilities;213
DXCM;DexCom;Health Care;214
ES;Eversource Energy;Utilities;215
SWK;Stanley Black & Decker;Industrials;216
PAYX;Paychex Inc.;Information Technology;217
ROK;Rockwell Automation Inc.;Industrials;218
HLT;Hilton Worldwide Holdings Inc;Consumer Discretionary;219
RMD;ResMed;Health Care;220
MSI;Motorola Solutions Inc.;Information Technology;221
PSX;Phillips 66;Energy;222
MCK;McKesson Corp.;Health Care;223
CTVA;Corteva;Materials;224
KMI;Kinder Morgan;Energy;225
LUV;Southwest Airlines;Industrials;226
GLW;Corning Inc.;Information Technology;227
SPG;Simon Property Group Inc;Real Estate;228
WBA;Walgreens Boots Alliance;Consumer Staples;229
ADM;Archer-Daniels-Midland Co;Consumer Staples;230
VFC;VF Corporation;Consumer Discretionary;231
ANSS;ANSYS;Information Technology;232
AWK;American Water Works Company Inc;Utilities;233
FAST;Fastenal Co;Industrials;234
WELL;Welltower Inc.;Real Estate;235
OTIS;Otis Worldwide;Industrials;236
AME;AMETEK Inc.;Industrials;237
MTD;Mettler Toledo;Health Care;238
ALXN;Alexion Pharmaceuticals;Health Care;239
MPC;Marathon Petroleum;Energy;240
WLTW;Willis Towers Watson;Financials;241
AZO;AutoZone Inc;Consumer Discretionary;242
DLTR;Dollar Tree;Consumer Discretionary;243
DAL;Delta Air Lines Inc.;Industrials;244
ED;Consolidated Edison;Utilities;245
WMB;Williams Companies;Energy;246
BBY;Best Buy Co. Inc.;Consumer Discretionary;247
STT;State Street Corp.;Financials;248
DTE;DTE Energy Co.;Utilities;249
DHI;D. R. Horton;Consumer Discretionary;250
KR;Kroger Co.;Consumer Staples;251
CLX;The Clorox Company;Consumer Staples;252
DFS;Discover Financial Services;Financials;253
FTV;Fortive Corp;Industrials;254
EIX;Edison Int'l;Utilities;255
AVB;AvalonBay Communities;Real Estate;256
CPRT;Copart Inc;Industrials;257
VLO;Valero Energy;Energy;258
LYB;LyondellBasell;Materials;259
AMP;Ameriprise Financial;Financials;260
SWKS;Skyworks Solutions;Information Technology;261
FLT;FleetCor Technologies Inc;Information Technology;262
CERN;Cerner;Health Care;263
MKC;McCormick & Co.;Consumer Staples;264
PPL;PPL Corp.;Utilities;265
FRC;First Republic Bank;Financials;266
ETR;Entergy Corp.;Utilities;267
KEYS;Keysight Technologies;Information Technology;268
AJG;Arthur J. Gallagher & Co.;Financials;269
HSY;The Hershey Company;Consumer Staples;270
MXIM;Maxim Integrated Products Inc;Information Technology;271
O;Realty Income Corporation;Real Estate;272
WY;Weyerhaeuser;Real Estate;273
LEN;Lennar Corp.;Consumer Discretionary;274
KHC;Kraft Heinz Co;Consumer Staples;275
CHD;Church & Dwight;Consumer Staples;276
EQR;Equity Residential;Real Estate;277
RSG;Republic Services Inc;Industrials;279
CBRE;CBRE Group;Real Estate;280
NTRS;Northern Trust Corp.;Financials;281
VRSN;Verisign Inc.;Information Technology;282
IP;International Paper;Materials;283
EFX;Equifax Inc.;Industrials;284
PAYC;Paycom;Information Technology;285
ZBRA;Zebra Technologies;Information Technology;286
WST;West Pharmaceutical Services;Health Care;287
VIAC;ViacomCBS;Communication Services;288
AEE;Ameren Corp;Utilities;289
TTWO;Take-Two Interactive;Communication Services;290
MKTX;MarketAxess;Financials;291
ODFL;Old Dominion Freight Line;Industrials;292
TSN;Tyson Foods;Consumer Staples;293
ARE;Alexandria Real Estate Equities;Real Estate;294
LH;Laboratory Corp. of America Holding;Health Care;295
VMC;Vulcan Materials;Materials;296
FITB;Fifth Third Bancorp;Financials;297
CDW;CDW;Information Technology;298
GWW;Grainger (W.W.) Inc.;Industrials;299
LVS;Las Vegas Sands;Consumer Discretionary;300
SIVB;SVB Financial;Financials;301
AMCR;Amcor plc;Materials;302
PXD;Pioneer Natural Resources;Energy;303
VTR;Ventas Inc;Real Estate;304
DOV;Dover Corporation;Industrials;305
KSU;Kansas City Southern;Industrials;307
CMS;CMS Energy;Utilities;308
HOLX;Hologic;Health Care;309
CAG;Conagra Brands;Consumer Staples;311
XYL;Xylem Inc.;Industrials;312
TFX;Teleflex;Health Care;313
MLM;Martin Marietta Materials;Materials;314
QRVO;Qorvo;Information Technology;315
SYF;Synchrony Financial;Financials;316
GRMN;Garmin Ltd.;Consumer Discretionary;317
AKAM;Akamai Technologies Inc;Information Technology;318
HIG;Hartford Financial Svc.Gp.;Financials;319
EXPE;Expedia Group;Consumer Discretionary;320
BR;Broadridge Financial Solutions;Information Technology;321
OKE;ONEOK;Energy;322
URI;United Rentals Inc.;Industrials;323
IR;Ingersoll Rand;Industrials;324
ESS;Essex Property Trust Inc.;Real Estate;325
NUE;Nucor Corp.;Materials;326
TYL;Tyler Technologies;Information Technology;327
DGX;Quest Diagnostics;Health Care;328
PEAK;Healthpeak Properties;Real Estate;329
KEY;KeyCorp;Financials;330
FTNT;Fortinet;Information Technology;331
COO;The Cooper Companies;Health Care;332
STE;STERIS plc;Health Care;333
VAR;Varian Medical Systems;Health Care;334
ULTA;Ulta Beauty;Consumer Discretionary;335
CE;Celanese;Materials;336
CAH;Cardinal Health Inc.;Health Care;337
K;Kellogg Co.;Consumer Staples;338
HAL;Halliburton Co.;Energy;339
MTB;M&T Bank Corp.;Financials;340
KMX;Carmax Inc;Consumer Discretionary;341
TSCO;Tractor Supply Company;Consumer Discretionary;342
RF;Regions Financial Corp.;Financials;344
ABC;AmerisourceBergen Corp;Health Care;345
EXPD;Expeditors;Industrials;346
FMC;FMC Corporation;Materials;347
INCY;Incyte;Health Care;348
CTXS;Citrix Systems;Information Technology;349
CFG;Citizens Financial Group;Financials;350
DPZ;Domino's Pizza;Consumer Discretionary;351
BF-B;Brown-Forman Corp.;Consumer Staples;352
ANET;Arista Networks;Information Technology;353
NDAQ;Nasdaq Inc.;Financials;354
HPE;Hewlett Packard Enterprise;Information Technology;355
EXR;Extra Space Storage;Real Estate;356
BXP;Boston Properties;Real Estate;357
DRI;Darden Restaurants;Consumer Discretionary;358
HES;Hess Corporation;Energy;359
GPC;Genuine Parts;Consumer Discretionary;360
ALB;Albemarle Corp;Materials;361
FE;FirstEnergy Corp;Utilities;362
NVR;NVR Inc.;Consumer Discretionary;363
IEX;IDEX Corporation;Industrials;364
TDY;Teledyne Technologies;Industrials;365
RCL;Royal Caribbean Group;Consumer Discretionary;366
DRE;Duke Realty Corp;Real Estate;367
MAA;Mid-America Apartments;Real Estate;368
MAS;Masco Corp.;Industrials;369
TIF;Tiffany & Co.;Consumer Discretionary;370
WAT;Waters Corporation;Health Care;371
PKI;PerkinElmer;Health Care;372
OXY;Occidental Petroleum;Energy;373
OMC;Omnicom Group;Communication Services;374
J;Jacobs Engineering Group;Industrials;375
AES;AES Corp;Utilities;376
LDOS;Leidos Holdings;Information Technology;377
IT;Gartner Inc;Information Technology;378
EMN;Eastman Chemical;Materials;379
PFG;Principal Financial Group;Financials;380
CNP;CenterPoint Energy;Utilities;381
SJM;JM Smucker;Consumer Staples;383
UAL;United Airlines Holdings;Industrials;384
WAB;Wabtec Corporation;Industrials;385
WDC;Western Digital;Information Technology;386
HRL;Hormel Foods Corp.;Consumer Staples;387
STX;Seagate Technology;Information Technology;388
HBAN;Huntington Bancshares;Financials;389
LNT;Alliant Energy Corp;Utilities;390
BKR;Baker Hughes Co;Energy;391
EVRG;Evergy;Utilities;392
CXO;Concho Resources;Energy;393
AVY;Avery Dennison Corp;Materials;394
CHRW;C. H. Robinson Worldwide;Industrials;395
WHR;Whirlpool Corp.;Consumer Discretionary;396
PKG;Packaging Corporation of America;Materials;397
JKHY;Jack Henry & Associates;Information Technology;398
IFF;International Flavors & Fragrances;Materials;399
PHM;PulteGroup;Consumer Discretionary;400
NTAP;NetApp;Information Technology;401
ATO;Atmos Energy;Utilities;402
ABMD;ABIOMED Inc;Health Care;403
CINF;Cincinnati Financial;Financials;404
HAS;Hasbro Inc.;Consumer Discretionary;405
FBHS;Fortune Brands Home & Security;Industrials;406
UDR;UDR Inc.;Real Estate;407
MGM;MGM Resorts International;Consumer Discretionary;408
RJF;Raymond James Financial Inc.;Financials;409
JBHT;J. B. Hunt Transport Services;Industrials;410
WRK;WestRock;Materials;411
BIO;Bio-Rad Laboratories;Health Care;412
XRAY;Dentsply Sirona;Health Care;413
TXT;Textron Inc.;Industrials;414
ALLE;Allegion;Industrials;415
NLOK;NortonLifeLock;Information Technology;416
CCL;Carnival Corp.;Consumer Discretionary;417
LW;Lamb Weston Holdings Inc;Consumer Staples;418
L;Loews Corp.;Financials;419
HST;Host Hotels & Resorts;Real Estate;420
UHS;Universal Health Services;Health Care;421
AAP;Advance Auto Parts;Consumer Discretionary;422
LKQ;LKQ Corporation;Consumer Discretionary;424
FOXA;Fox Corporation (Class A);Communication Services;425
CBOE;Cboe Global Markets;Financials;426
CPB;Campbell Soup;Consumer Staples;427
FFIV;F5 Networks;Information Technology;428
PNW;Pinnacle West Capital;Utilities;429
WYNN;Wynn Resorts Ltd;Consumer Discretionary;430
LYV;Live Nation Entertainment;Communication Services;431
PWR;Quanta Services Inc.;Industrials;432
SNA;Snap-on;Industrials;433
BWA;BorgWarner;Consumer Discretionary;434
RE;Everest Re Group Ltd.;Financials;435
HWM;Howmet Aerospace;Industrials;436
GL;Globe Life Inc.;Financials;437
WU;Western Union Co;Information Technology;438
NI;NiSource Inc.;Utilities;439
HSIC;Henry Schein;Health Care;440
WRB;W. R. Berkley Corporation;Financials;441
LNC;Lincoln National;Financials;442
DISH;Dish Network;Communication Services;443
IPG;Interpublic Group;Communication Services;444
PNR;Pentair plc;Industrials;445
LB;L Brands Inc.;Consumer Discretionary;446
TAP;Molson Coors Beverage Company;Consumer Staples;447
DVA;DaVita Inc.;Health Care;448
AIZ;Assurant;Financials;449
TPR;Tapestry Inc.;Consumer Discretionary;450
CF;CF Industries Holdings Inc;Materials;451
NWL;Newell Brands;Consumer Discretionary;452
MHK;Mohawk Industries;Consumer Discretionary;453
NRG;NRG Energy;Utilities;454
ROL;Rollins Inc.;Industrials;455
MOS;The Mosaic Company;Materials;456
IRM;Iron Mountain Incorporated;Real Estate;457
AOS;A.O. Smith Corp;Industrials;458
DISCK;Discovery Inc. (Class C);Communication Services;459
RHI;Robert Half International;Industrials;460
REG;Regency Centers Corporation;Real Estate;461
AAL;American Airlines Group;Industrials;462
CMA;Comerica Inc.;Financials;463
JNPR;Juniper Networks;Information Technology;464
FANG;Diamondback Energy;Energy;465
IPGP;IPG Photonics Corp.;Information Technology;466
COG;Cabot Oil & Gas;Energy;467
SEE;Sealed Air;Materials;468
HII;Huntington Ingalls Industries;Industrials;469
NWSA;News Corp. Class A;Communication Services;470
ZION;Zions Bancorp;Financials;471
PRGO;Perrigo;Health Care;472
ALK;Alaska Air Group Inc;Industrials;473
VNO;Vornado Realty Trust;Real Estate;474
FRT;Federal Realty Investment Trust;Real Estate;475
IVZ;Invesco Ltd.;Financials;476
KIM;Kimco Realty;Real Estate;477
DXC;DXC Technology;Information Technology;478
PVH;PVH Corp.;Consumer Discretionary;479
NCLH;Norwegian Cruise Line Holdings;Consumer Discretionary;480
BEN;Franklin Resources;Financials;481
DVN;Devon Energy;Energy;482
LEG;Leggett & Platt;Consumer Discretionary;483
NLSN;Nielsen Holdings;Industrials;484
PBCT;People's United Financial;Financials;485
FLIR;FLIR Systems;Information Technology;486
APA;Apache Corporation;Energy;487
NOV;National Oilwell Varco Inc.;Energy;488
MRO;Marathon Oil Corp.;Energy;489
HBI;Hanesbrands Inc;Consumer Discretionary;490
UNM;Unum Group;Financials;491
AIV;Apartment Investment & Management;Real Estate;492
FOX;Fox Corporation (Class B);Communication Services;493
FLS;Flowserve Corporation;Industrials;495
SLG;SL Green Realty;Real Estate;496
GPS;Gap Inc.;Consumer Discretionary;497
RL;Ralph Lauren Corporation;Consumer Discretionary;498
XRX;Xerox;Information Technology;499
DISCA;Discovery Inc. (Class A);Communication Services;500
FTI;TechnipFMC;Energy;501
HFC;HollyFrontier Corp;Energy;502
UAA;Under Armour (Class A);Consumer Discretionary;503
UA;Under Armour (Class C);Consumer Discretionary;504
NWS;News Corp. Class B;Communication Services;505
